무인교통단속카메라관리번호,시도명,시군명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
G2403,경기도,가평군,일반국도,75,호반로,3,,경기도 가평군 가평읍 달전리 452-10,37.81414011,127.514933,농협 앞(남이섬-&amp;gt;가평경찰서),1,30,99,2018,경기도북부경찰청,031-961-2651,2025-03-28
F9916,경기도,가평군,일반국도,46,경춘로,1,,경기도 가평군 청평면 대성리 758,37.69729011,127.384018,원대성리 삼거리앞(청평터미널→대성리역),2,70,99,2017,경기도북부경찰청,031-961-2651,2025-03-28
J1474,경기도,가평군,시도,,북한강변로,2,,경기도 가평군 가평읍 달전리 247-6,37.81048862,127.517459,가시머리민물매운탕 노인보호구역(달전교차로→자라섬),1,30,1,2022,경기도북부경찰청,031-961-2651,2025-03-28
H5793,경기도,가평군,지방도,86,한서로,3,경기도 가평군 설악면 한서로 233,경기도 가평군 설악면 위곡리 718-1,37.66987547,127.5153582,미원초교 위곡분교 어린이보호구역(홍천→설악면),2,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
H4870,경기도,가평군,시도,,문화로,3,,경기도 가평군 가평읍 읍내리 549-1,37.82949911,127.5071577,한석봉도서관(가평초교→가평역),1,30,99,2020,경기도북부경찰청,031-961-2651,2025-03-28
H4722,경기도,가평군,지방도,98,남가로,3,,경기도 가평군 청평면 대성리 562-8,37.69362158,127.3672921,보니애가구(대성교차로→수동면),1,50,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
H4725,경기도,가평군,시도,,청군로,3,경기도 가평군 상면 청군로 701,경기도 가평군 상면 임초리 415-6,37.77439854,127.3713964,상면초교 건너편 어린이보호구역(개누리고개→상면교차로),1,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
J3039,경기도,가평군,일반국도,3,가화로,3,,경기도 가평군 북면 적목리 161-2,37.97055545,127.4549172,목동초교 명지분교 어린이보호구역(가평→화천),1,30,99,2022,경기도북부경찰청,031-961-2651,2025-03-28
J3042,경기도,가평군,시도,,향교로,3,경기도 가평군 가평읍 향교로 22,경기도 가평군 가평읍 읍내리 558-1,37.83019409,127.5088731,가평교육지원청 가평초교 건너편 어린이보호구역(가평중학교→가평군청),1,30,99,2022,경기도북부경찰청,031-961-2651,2025-03-28
J3046,경기도,가평군,일반국도,400,가화로,3,,경기도 가평군 가평읍 마장리 347-2,37.85844342,127.5161917,마장초교 건너편 어린이보호구역(가평군청→목동버스터미널),1,30,99,2022,경기도북부경찰청,031-961-2651,2025-03-28
