시도,지자체,법규위반,발생건수,대형사고,중대한사고(여객),중대한사고(화물),사망자수,치사율(%),연도
경기,수원시,중앙선침범,195,0,0,1,3,1.54,2015
경기,수원시,신호위반,738,0,0,7,7,0.95,2015
경기,수원시,안전거리미확보,644,0,0,7,1,0.16,2015
경기,수원시,불법유턴,60,0,0,1,0,0.0,2015
경기,수원시,과속,14,0,0,0,3,21.43,2015
경기,수원시,안전운전불이행,2823,0,1,28,23,0.81,2015
경기,수원시,교차로운행방법위반,284,0,0,1,1,0.35,2015
경기,수원시,보행자보호의무위반,143,0,0,0,0,0.0,2015
경기,수원시,차로위반,119,0,0,0,1,0.84,2015
경기,수원시,직진우회전진행방해,82,0,0,0,0,0.0,2015
경기,수원시,기타,127,0,0,0,0,0.0,2015
경기,수원시,알수없음,4,0,0,0,0,0.0,2015
경기,수원시,중앙선침범,152,0,0,0,0,0.0,2016
경기,수원시,신호위반,635,0,0,5,2,0.31,2016
경기,수원시,안전거리미확보,619,0,0,6,1,0.16,2016
경기,수원시,불법유턴,56,0,0,0,0,0.0,2016
경기,수원시,과속,18,0,0,0,4,22.22,2016
경기,수원시,안전운전불이행,2764,1,0,28,36,1.3,2016
경기,수원시,교차로운행방법위반,361,0,0,4,1,0.28,2016
경기,수원시,보행자보호의무위반,163,0,0,1,3,1.84,2016
경기,수원시,차로위반,125,0,0,2,0,0.0,2016
경기,수원시,직진우회전진행방해,83,0,0,0,0,0.0,2016
경기,수원시,기타,139,0,0,1,1,0.72,2016
경기,수원시,알수없음,6,0,0,0,0,0.0,2016
경기,수원시,중앙선침범,148,0,0,1,1,0.68,2017
경기,수원시,신호위반,696,1,0,5,8,1.15,2017
경기,수원시,안전거리미확보,549,0,0,2,0,0.0,2017
경기,수원시,불법유턴,39,0,0,0,0,0.0,2017
경기,수원시,과속,9,0,0,0,2,22.22,2017
경기,수원시,안전운전불이행,2528,2,0,18,31,1.23,2017
경기,수원시,교차로운행방법위반,343,0,0,0,1,0.29,2017
경기,수원시,보행자보호의무위반,185,0,0,2,1,0.54,2017
경기,수원시,차로위반,121,0,0,3,1,0.83,2017
경기,수원시,직진우회전진행방해,83,0,0,0,0,0.0,2017
경기,수원시,알수없음,141,0,0,0,0,0.0,2017
,,소계,4842,3,0,31,45,,2017
경기,수원시,중앙선침범,170,0,0,0,0,0.0,2018
경기,수원시,신호위반,704,0,0,5,3,0.43,2018
경기,수원시,안전거리미확보,602,0,0,4,2,0.33,2018
경기,수원시,불법유턴,56,0,0,0,0,0.0,2018
경기,수원시,과속,21,0,0,0,7,33.33,2018
경기,수원시,안전운전불이행,2587,0,0,16,24,0.93,2018
경기,수원시,교차로운행방법위반,328,0,0,0,0,0.0,2018
경기,수원시,보행자보호의무위반,147,0,0,0,2,1.36,2018
경기,수원시,차로위반,152,0,0,1,0,0.0,2018
경기,수원시,직진우회전진행방해,93,0,0,0,0,0.0,2018
경기,수원시,기타,133,0,0,0,1,0.75,2018
경기,수원시,알수없음,4,0,0,0,0,0.0,2018
경기,수원시,중앙선침범,151,0,0,0,2,1.32,2019
경기,수원시,신호위반,747,0,0,4,1,0.13,2019
경기,수원시,안전거리미확보,663,0,0,4,2,0.3,2019
경기,수원시,불법유턴,52,0,0,0,0,0.0,2019
경기,수원시,과속,22,0,0,1,4,18.18,2019
경기,수원시,안전운전불이행,2392,0,0,16,18,0.75,2019
경기,수원시,교차로운행방법위반,362,0,0,0,0,0.0,2019
경기,수원시,보행자보호의무위반,147,0,0,2,3,2.04,2019
경기,수원시,차로위반,127,0,0,1,0,0.0,2019
경기,수원시,직진우회전진행방해,117,0,0,0,0,0.0,2019
경기,수원시,기타,136,0,0,0,1,0.74,2019
경기,수원시,알수없음,4,0,0,0,0,0.0,2019
경기,수원시,중앙선침범,153,0,0,0,2,1.31,2020
경기,수원시,신호위반,631,0,0,3,1,0.16,2020
경기,수원시,안전거리미확보,633,0,0,3,0,0.0,2020
경기,수원시,불법유턴,38,0,0,0,1,2.63,2020
경기,수원시,과속,21,0,0,0,4,19.05,2020
경기,수원시,안전운전불이행,2210,0,0,12,18,0.81,2020
경기,수원시,교차로운행방법위반,281,0,0,1,1,0.36,2020
경기,수원시,보행자보호의무위반,122,0,0,2,2,1.64,2020
경기,수원시,차로위반,117,0,0,0,0,0.0,2020
경기,수원시,직진우회전진행방해,135,0,0,1,0,0.0,2020
경기,수원시,기타,137,0,0,0,0,0.0,2020
