jijace,year,status
41280,2015,success
41280,2016,success
41280,2017,success
41280,2018,success
41280,2019,success
41280,2020,success
41280,2021,success
41280,2022,success
41280,2023,success
41280,2024,success
41110,2015,success
41110,2016,success
41110,2017,success
41110,2018,success
41110,2019,success
41110,2020,success
41110,2021,success
41110,2022,success
41110,2023,success
41110,2024,success
41460,2015,success
41460,2016,success
41460,2017,success
41460,2018,success
41460,2019,success
41460,2020,success
41460,2021,success
41460,2022,success
41460,2023,success
41460,2024,success
41590,2015,success
41590,2016,success
41590,2017,success
41590,2018,success
41590,2019,success
41590,2020,success
41590,2021,success
41590,2022,success
41590,2023,success
41590,2024,success
